年份,资料类型,最终文件名,原始文件名,来源仓库,来源路径或URL,文件大小,PDF页数,校验状态,备注
2010,单年份真题,01_单年份真题/2010/2010年考研英语二真题.pdf,2010年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2010年考研英语二真题.pdf,1239369,14,通过,PDF签名、打开、页数、内容均通过；标题文本层缺年份，已按试题内容和来源路径人工交叉核对。
2011,单年份真题,01_单年份真题/2011/2011年考研英语二真题.pdf,2011年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2011年考研英语二真题.pdf,1796545,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2012,单年份真题,01_单年份真题/2012/2012年考研英语二真题.pdf,2012年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2012年考研英语二真题.pdf,1542719,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2013,单年份真题,01_单年份真题/2013/2013年考研英语二真题.pdf,2013年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2013年考研英语二真题.pdf,1441895,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2014,单年份真题,01_单年份真题/2014/2014年考研英语二真题.pdf,2014年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2014年考研英语二真题.pdf,1633060,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2015,单年份真题,01_单年份真题/2015/2015年考研英语二真题.pdf,2015年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2015年考研英语二真题.pdf,1347294,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2016,单年份真题,01_单年份真题/2016/2016年考研英语二真题.pdf,2016年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2016年考研英语二真题.pdf,1397776,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2017,单年份真题,01_单年份真题/2017/2017年考研英语二真题.pdf,2017年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2017年考研英语二真题.pdf,1520721,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2018,单年份真题,01_单年份真题/2018/2018年考研英语二真题.pdf,2018年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2018年考研英语二真题.pdf,1488283,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2019,单年份真题,01_单年份真题/2019/2019年考研英语二真题.pdf,2019年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2019年考研英语二真题.pdf,1378276,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
