"年份","篇目","答案"
"2010","Text 1","D,A,B,C,C"
"2010","Text 2","A,C,B,D,B"
"2010","Text 3","A,A,D,C,B"
"2010","Text 4","D,A,C,B,D"
"2011","Text 1","B,D,C,A,B"
"2011","Text 2","D,B,C,A,A"
"2011","Text 3","C,D,C,D,B"
"2011","Text 4","B,C,B,A,D"
"2012","Text 1","A,C,D,B,A"
"2012","Text 2","C,B,B,A,C"
"2012","Text 3","A,B,A,C,D"
"2012","Text 4","D,D,B,D,C"
"2013","Text 1","A,C,B,B,D"
"2013","Text 2","D,C,D,B,C"
"2013","Text 3","A,A,C,D,C"
"2013","Text 4","B,B,A,D,C"
"2014","Text 1","B,A,D,B,C"
"2014","Text 2","A,C,B,A,D"
"2014","Text 3","B,A,D,D,C"
"2014","Text 4","B,C,A,C,D"
"2015","Text 1","D,B,A,C,B"
"2015","Text 2","C,A,C,D,D"
"2015","Text 3","A,C,D,A,D"
"2015","Text 4","B,C,B,B,A"
"2016","Text 1","B,D,A,C,B"
"2016","Text 2","D,C,A,D,C"
"2016","Text 3","D,B,D,A,C"
"2016","Text 4","A,C,B,D,B"
"2017","Text 1","A,B,C,D,B"
"2017","Text 2","B,D,D,C,A"
"2017","Text 3","C,D,A,D,A"
"2017","Text 4","B,D,C,D,B"
"2018","Text 1","B,D,A,C,C"
"2018","Text 2","C,A,A,C,C"
"2018","Text 3","B,C,D,A,D"
"2018","Text 4","A,D,D,B,B"
"2019","Text 1","B,A,C,A,C"
"2019","Text 2","C,C,A,D,B"
"2019","Text 3","A,B,D,C,D"
"2019","Text 4","D,D,B,B,A"
"2020","Text 1","A,D,B,C,D"
"2020","Text 2","C,D,B,D,A"
"2020","Text 3","D,D,A,D,B"
"2020","Text 4","D,A,B,C,B"
"2021","Text 1","C,B,A,D,C"
"2021","Text 2","B,C,C,A,B"
"2021","Text 3","A,B,C,C,A"
"2021","Text 4","B,A,A,D,B"
"2022","Text 1","D,C,C,B,C"
"2022","Text 2","D,A,C,D,A"
"2022","Text 3","C,D,B,B,B"
"2022","Text 4","A,B,D,C,C"
"2023","Text 1","A,B,B,C,D"
"2023","Text 2","D,A,C,B,D"
"2023","Text 3","C,D,A,A,B"
"2023","Text 4","A,C,D,B,A"
