年份,篇目,句数,字符数,可疑OCR片段
2010,Text 1,19,2211,15th | 1989 | 2003 | 2007 | 2008 | 200m | 40 | 50 | 56 | 65 | 70m | 90
2010,Text 2,19,2188,1970s | 50
2010,Text 3,16,2676,76
2010,Text 4,16,2532,1880 | 1898 | 1940s | 1960s | 1968 | 1975 | 20th | express10n
2011,Text 1,19,2326,000 | 10 | 1989 | 20 | 2000 | 2004 | 2009 | 64 | 70 | con皿ittee | 伍m | 伍ms
2011,Text 2,30,2064,13 | 20 | 2007 | 2008 | 35 | 500 | 87
2011,Text 3,17,2752,000 | 1 | 18 | 1930s | 1940s | 1945 | 1962 | 200 | 20th | 90s
2011,Text 4,18,2400,16 | 27
2012,Text 1,18,2463,10
2012,Text 2,17,2542,0s | 193 | 1980s | 20th
2012,Text 3,24,2447,20 | 2005 | 2010 | 29th
2012,Text 4,18,2523,
2013,Text 1,15,2198,10 | 2009 | 2l | 6 | 70 | 8t
2013,Text 2,22,2247,1908 | 1915 | 2 | 7
2013,Text 3,17,2346,12 | 20
2013,Text 4,18,2195,14 | 24 | 40 | 60
2014,Text 1,18,2377,590m | 84 | e呻ances
2014,Text 2,19,2630,70 | 85 | 93 | e呻anced
2014,Text 3,19,2278,20th
2014,Text 4,20,2333,0 | 000 | 2015 | 4 | 5bn | 6 | 60 | con皿unicating
2015,Text 1,24,2334,Fu门her
2015,Text 2,13,2557,1 | 147 | 5 | 6 | 63 | 8 | 9
2015,Text 3,18,2409,1990 | 1990s | 20 | 500 | buz研ordin | 伍m | 动ack
2015,Text 4,23,2513,0 | 000 | 1 | 12 | 28 | 35 | 4 | 6 | 640 | 7 | 8 | 83 | 9
2016,Text 1,18,2359,凶埜
2016,Text 2,18,2526,000 | 10 | 16 | 2 | 22 | 67 | 95
2016,Text 3,19,2479,30 | con皿unication
2016,Text 4,13,2578,21st | 27
2017,Text 1,25,2424,000 | 13 | 2 | 2012 | 30t | 400 | 48 | 50 | 5km | 9
2017,Text 2,15,2454,000 | 1970s | 20 | 30 | 39
2017,Text 3,16,2448,12 | 80
2017,Text 4,21,2415,20 | 2015 | 5 | gree呻ouse
2018,Text 1,24,2236,13th | 44 | 54
2018,Text 2,20,2450,10 | 36 | 80 | 85 | 95
2018,Text 3,17,2301,13 | 460
2018,Text 4,15,2434,1980s
2019,Text 1,24,2534,2014 | 244
2019,Text 2,21,2343,000 | 100 | 2010 | 2016 | 2020 | 2030 | 35 | 60
2019,Text 3,29,2586,000 | 14 | 1998 | 2000 | 2011 | 2012 | 2016 | 22 | 25 | 2A | 2B | 35 | 5 | 66 | 71 | 8 | 80
2019,Text 4,20,2630,2022
2020,Text 1,15,2430,18 | 52
2020,Text 2,17,2309,1 | 18 | 1970s | 300 | 500 | 9
2020,Text 3,19,2420,2021
2020,Text 4,19,2592,1 | 17 | 19 | 1995 | 2008 | 2019 | 5 | 50 | 60 | 81 | 88 | 95 | con皿on
2021,Text 1,14,2357,13 | 2022 | 3 | 42 | 5 | 7 | 90
2021,Text 2,11,2235,10 | 1980s | 2050 | 23 | 25 | 30 | 30per | 60 | 80 | 85
2021,Text 3,11,2438,130 | 2015 | 3 | 4 | 5
2021,Text 4,14,2693,000 | 1 | 10 | 14 | 9 | I5 | 二 | 共 | 英语 | 试题 | 页
2022,Text 1,18,2545,000 | 1 | 13 | 14 | 2022 | 3 | 40 | 6 | 8 | 9 | progress9 | 二 | 共 | 年 | 第 | 英 | 试题 | 语 | 页
2022,Text 2,22,2841,10 | 14 | 16 | 1985 | 20 | 2000 | 2010 | 2018 | 2022 | 302 | 32 | 40 | 5 | 59 | 65 | 72 | 79 | 二 | 共 | 年 | 第 | 英 | 试题 | 语 | 页
2022,Text 3,14,2655,000 | 10 | 11 | 12 | 14 | 2010 | 2019 | 2022 | 53 | 7 | patterns一this | 二 | 共 | 年 | 第 | 英 | 试题 | 语 | 页
2022,Text 4,18,2702,000 | 11 | 14 | 2022 | 45 | 500 | 52 | 5O | 9 | assistants9 | students9 | 二 | 共 | 年 | 第 | 英 | 试 | 语 | 页 | 题
2023,Text 1,16,2437,000 | 11 | 20 | 276 | 282 | 30 | 500 | 7
2023,Text 2,18,2617,10 | 12 | 1980 | 2001 | 2009 | 3 | 300 | 330 | 5 | 50 | 700 | 81
2023,Text 3,19,2446,2008 | 2011 | 24 | 40
2023,Text 4,24,2629,11 | 200 | 28 | 30
2024,Text 1,17,2513,15 | 2019 | 38
2024,Text 2,14,2401,20 | 25
2024,Text 3,17,2432,100 | 31 | 85 | 90
2024,Text 4,16,2642,000 | 2018 | 2020 | 2021 | 350 | 5 | 90
2025,Text 1,19,2313,10 | 13 | 15 | 1950s | 2 | 20 | 2000 | 2010s
2025,Text 2,18,2474,20 | 6 | 75 | 8
2025,Text 3,21,2546,1 | 36
2025,Text 4,15,2698,000 | 50
2026,Text 1,21,2413,2 | 2010 | 230 | 800 | 892
2026,Text 2,19,2425,25 | 40 | 63
2026,Text 3,18,2412,10 | 124bn | 2008 | 2023 | 2026 | 23 | 24bn | 500km
2026,Text 4,18,2552,000 | 2023 | 2024 | 70
